PATH, FILENAME, LINE, STATE, CUrRENT HINT, EXPECTED HINT, TOTAL #, TAKEN % , TAKEN, NOT TAKEN, NUM_BRANCHES, BRANCH TYPE, LINE OF CODE
/home/GabrielCSMO/devel/python/Python, symtable.c, 1110, MISSING, NONE, UNEXPECTED, 122, 0, 0, 122, 2, UNKNOWN, Py_DECREF(tmp);
/home/GabrielCSMO/devel/python/Python, ceval.c, 1622, MISSING, NONE, UNEXPECTED, 3, 0, 0, 3, 2, UNKNOWN, if (res == NULL)
/home/GabrielCSMO/devel/python/Python, pylifecycle.c, 1003, MISSING, NONE, UNEXPECTED, 9, 0, 0, 9, 2, UNKNOWN, if (raw == NULL)
/home/GabrielCSMO/devel/python/Python, ceval.c, 1620, MISSING, NONE, UNEXPECTED, 3, 0, 0, 3, 2, UNKNOWN, Py_DECREF(right);
/home/GabrielCSMO/devel/python/Objects, abstract.c, 144, OVERFLOW, NONE, NONE, 39360714, 50, 39360714, 0, 4, UNKNOWN, if (m && m->mp_subscript)
/home/GabrielCSMO/devel/python/Python, symtable.c, 1579, MISSING, NONE, UNEXPECTED, 105, 0, 0, 105, 2, UNKNOWN, if (!symtable_add_def(st
/home/GabrielCSMO/devel/python/Python, symtable.c, 1578, MISSING, NONE, UNEXPECTED, 823, 12, 105, 718, 2, UNKNOWN, if (eh->v.ExceptHandler.name)
/home/GabrielCSMO/devel/python/Python, ceval.c, 1624, OVERFLOW, NONE, NONE, 3, 50, 3, 0, 4, UNKNOWN, DISPATCH();
/home/GabrielCSMO/devel/python/Objects, abstract.c, 140, OVERFLOW, NONE, NONE, 39360714, 50, 39360714, 0, 4, UNKNOWN, if (o == NULL || key == NULL)
/home/GabrielCSMO/devel/python/Python, ast.c, 881, MISSING, NONE, UNEXPECTED, 24278, 11, 2720, 21558, 2, UNKNOWN, if (full_checks) {
/home/GabrielCSMO/devel/python/Python, formatter_unicode.c, 887, OVERFLOW, NONE, NONE, 0, 0, 0, 0, 4, UNKNOWN, switch (format->type) {
/home/GabrielCSMO/devel/python/Python, symtable.c, 1576, MISSING, NONE, EXPECTED, 823, 77, 638, 185, 2, UNKNOWN, if (eh->v.ExceptHandler.type)
/home/GabrielCSMO/devel/python/Modules, sre_lib.h, 922, MISSING, NONE, UNEXPECTED, 6, 0, 0, 6, 2, UNKNOWN, if (ctx->count < (Py_ssize_t) ctx->u.rep->pattern[1]) {
/home/GabrielCSMO/devel/python/Objects, exceptions.c, 78, MISSING, NONE, UNEXPECTED, 1442284, 0, 0, 1442284, 2, UNKNOWN, Py_CLEAR(self->dict);
/home/GabrielCSMO/devel/python/Objects, exceptions.c, 79, OVERFLOW, NONE, NONE, 1442284, 50, 1442284, 0, 4, UNKNOWN, Py_CLEAR(self->args);
/home/GabrielCSMO/devel/python/Objects, longobject.c, 4965, MISSING, NONE, UNEXPECTED, 243, 0, 0, 243, 2, UNKNOWN, if (bytes == NULL)
/home/GabrielCSMO/devel/python/Modules, posixmodule.c.h, 3239, MISSING, NONE, UNEXPECTED, 6, 0, 0, 6, 2, UNKNOWN, if (!PyArg_ParseTupleAndKeywords(args
/home/GabrielCSMO/devel/python/Objects, unicodeobject.c, 11676, OVERFLOW, NONE, NONE, 24, 18, 7, 17, 8, UNKNOWN, return PyBool_FromLong(Py_UNICODE_ISALNUM(ch));
/home/GabrielCSMO/devel/python/Objects, typeobject.c, 1818, MISSING, NONE, UNEXPECTED, 734, 0, 0, 734, 2, UNKNOWN, if (!PyType_IsSubtype(solid
/home/GabrielCSMO/devel/python/Objects, longobject.c, 4968, MISSING, NONE, UNEXPECTED, 243, 0, 0, 243, 2, UNKNOWN, if (_PyLong_AsByteArray(v
/home/GabrielCSMO/devel/python/Objects, longobject.c, 121, MISSING, NONE, UNEXPECTED, 4444799, 6, 307176, 4137623, 2, UNKNOWN, if (i != j)
/home/GabrielCSMO/devel/python/Objects, bytesobject.c, 3193, OVERFLOW, NONE, NONE, 4, 50, 4, 0, 4, UNKNOWN, if (encoding != NULL || errors != NULL) {
/home/GabrielCSMO/devel/python/Python, Python-ast.c, 2185, MISSING, NONE, UNEXPECTED, 120, 0, 0, 120, 2, UNKNOWN, if (!value) {
/home/GabrielCSMO/devel/python/Python, formatter_unicode.c, 58, MISSING, NONE, UNEXPECTED, 86, 0, 0, 86, 2, UNKNOWN, if (*pos >= end)
/home/GabrielCSMO/devel/python/Objects, moduleobject.c, 583, OVERFLOW, NONE, NONE, 5802, 45, 4917, 885, 4, UNKNOWN, if (value != Py_None && PyUnicode_Check(key)) {
/home/GabrielCSMO/devel/python/Modules, _functoolsmodule.c, 714, MISSING, NONE, EXPECTED, 2, 50, 1, 1, 2, UNKNOWN, for (pos = 0; pos < PyTuple_GET_SIZE(args); ++pos) {
/home/GabrielCSMO/devel/python/Modules, _functoolsmodule.c, 710, MISSING, NONE, UNEXPECTED, 1, 0, 0, 1, 2, UNKNOWN, if (key == NULL)
/home/GabrielCSMO/devel/python/Python, pylifecycle.c, 249, MISSING, NONE, UNEXPECTED, 3, 0, 0, 3, 2, UNKNOWN, if (importlib == NULL) {
/home/GabrielCSMO/devel/python/Python, dtoa.c, 1636, OVERFLOW, NONE, NONE, 3, 30, 3, 0, 3, UNKNOWN, switch (c) {
/home/GabrielCSMO/devel/python/Python, pylifecycle.c, 242, MISSING, NONE, UNEXPECTED, 3, 0, 0, 3, 2, UNKNOWN, if (PyImport_ImportFrozenModule("_frozen_importlib") <= 0) {
/home/GabrielCSMO/devel/python/Python, dtoa.c, 1630, OVERFLOW, NONE, NONE, 685, 49, 675, 10, 4, UNKNOWN, if (c == 'e' || c == 'E') {
/home/GabrielCSMO/devel/python/Modules, _functoolsmodule.c, 719, MISSING, NONE, UNEXPECTED, 1, 0, 0, 1, 2, UNKNOWN, if (sorted_items) {
/home/GabrielCSMO/devel/python/Python, getargs.c, 282, MISSING, NONE, EXPECTED, 203811, 87, 179192, 24619, 2, UNKNOWN, if (compat) {
/home/GabrielCSMO/devel/python/Python, getargs.c, 283, MISSING, NONE, UNEXPECTED, 179192, 0, 0, 179192, 2, UNKNOWN, if (max == 0) {
/home/GabrielCSMO/devel/python/Objects, abstract.c, 2810, MISSING, NONE, UNEXPECTED, 10, 0, 0, 10, 2, UNKNOWN, if (data == NULL) {
/home/GabrielCSMO/devel/python/Objects, unicode_format.h, 329, MISSING, NONE, UNEXPECTED, 4447, 47, 2097, 2350, 2, UNKNOWN, while (i < end) {
/home/GabrielCSMO/devel/python/Objects, abstract.c, 2817, MISSING, NONE, UNEXPECTED, 10, 0, 0, 10, 2, UNKNOWN, if (!array[i]) {
/home/GabrielCSMO/devel/python/Python, dtoa.c, 1325, MISSING, NONE, EXPECTED, 3, 66, 2, 1, 2, UNKNOWN, while(sx <= sxe);
/home/GabrielCSMO/devel/python/Objects, unicode_format.h, 458, MISSING, NONE, EXPECTED, 3, 100, 3, 0, 2, UNKNOWN, if (PySequence_Check(obj))
/home/GabrielCSMO/devel/python/Objects, dictobject.c, 934, MISSING, NONE, EXPECTED, 812, 72, 586, 226, 2, UNKNOWN, if (oldvalues[i] != NULL) {
/home/GabrielCSMO/devel/python/Python, dtoa.c, 1329, OVERFLOW, NONE, NONE, 1, 50, 1, 0, 4, UNKNOWN, while(--bxe > bx && !*bxe)
/home/GabrielCSMO/devel/python/Python, dtoa.c, 1328, MISSING, NONE, EXPECTED, 1, 100, 1, 0, 2, UNKNOWN, if (!*bxe) {
/home/GabrielCSMO/devel/python/Objects, dictobject.c, 933, MISSING, NONE, EXPECTED, 953, 85, 812, 141, 2, UNKNOWN, for (i = 0; i < oldsize; i++) {
/home/GabrielCSMO/devel/python/Objects, dictobject.c, 932, MISSING, NONE, UNEXPECTED, 13613, 1, 141, 13472, 2, UNKNOWN, if (oldvalues != NULL) {
/home/GabrielCSMO/devel/python/Objects, fileobject.c, 269, MISSING, NONE, UNEXPECTED, 130694, 0, 0, 130694, 2, UNKNOWN, if (skipnextlf ) {
/home/GabrielCSMO/devel/python/Objects, fileobject.c, 268, OVERFLOW, NONE, NONE, 130696, 50, 130696, 0, 4, UNKNOWN, while (--n > 0 && (c = GETC(stream)) != EOF ) {
